,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
189,positions,"Ariana Grande",775990,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
190,"Crazy What Love Can Do","David Guetta",775648,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
191,Starboy,"The Weeknd",775350,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
192,"sun and moon",anees,774617,https://open.spotify.com/track/769Ld8demNhMgVLAQcjTDn
193,"Talking to the Moon","Bruno Mars",773720,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
194,Señorita,"Shawn Mendes",773175,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
195,RUMBATÓN,"Daddy Yankee",771237,https://open.spotify.com/track/3XjN0mvFkQp1FMVM9Ro5hm
196,Stan,Eminem,769641,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
197,"Sign of the Times","Harry Styles",769373,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
198,İmdat,cakal,767281,https://open.spotify.com/track/123hB20IVD2yw1NMIgrqb3
199,"When I Was Your Man","Bruno Mars",765577,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI
200,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",765502,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
