Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,PASS,,1,33863,1354.52,33880,1355.2,Player20,Player19,0.61,0.87,0.57,0.8
Away,BALL LOST,INTERCEPTION,1,33880,1355.2,33895,1355.8,Player19,,0.57,0.8,0.53,0.88
Away,SET PIECE,THROW IN,1,34161,1366.44,34161,1366.44,Player22,,,,,
Away,PASS,,1,34161,1366.44,34205,1368.2,Player22,Player17,0.48,1.01,0.67,0.95
Away,PASS,,1,34233,1369.32,34266,1370.64,Player17,Player16,0.66,0.91,0.7,0.54
Away,PASS,,1,34298,1371.92,34338,1373.52,Player16,Player15,0.68,0.48,0.64,0.2
Away,PASS,,1,34397,1375.88,34466,1378.64,Player15,Player22,0.61,0.22,0.35,0.97
Away,PASS,,1,34515,1380.6,34590,1383.6,Player22,Player21,0.32,0.97,0.09,0.85
Away,BALL LOST,CROSS-INTERCEPTION,1,34619,1384.76,34644,1385.76,Player21,,0.07,0.82,0.04,0.56
Away,RECOVERY,,1,35041,1401.64,35041,1401.64,Player17,,0.53,0.45,,
Away,PASS,,1,35083,1403.32,35102,1404.08,Player17,Player20,0.5,0.44,0.44,0.32
Away,PASS,,1,35188,1407.52,35224,1408.96,Player20,Player18,0.35,0.28,0.32,0.03
Away,PASS,,1,35313,1412.52,35360,1414.4,Player18,Player19,0.3,0.06,0.43,0.3
Away,PASS,,1,35439,1417.56,35503,1420.12,Player19,Player17,0.43,0.4,0.43,0.8
Away,PASS,,1,35503,1420.12,35539,1421.56,Player17,Player22,0.43,0.8,0.28,0.97
Away,BALL OUT,,1,35592,1423.68,35686,1427.44,Player22,,0.31,0.92,-0.04,0.82
Away,CHALLENGE,AERIAL-WON,1,36335,1453.4,36335,1453.4,Player15,,0.58,0.26,,
Away,RECOVERY,INTERCEPTION,1,36335,1453.4,36335,1453.4,Player15,,0.58,0.26,,
Away,BALL LOST,INTERCEPTION,1,36335,1453.4,36365,1454.6,Player15,,0.58,0.26,0.56,0.26
